MR_Sys_No,Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption,Rdg_Adj,ChngdMtr_Adj,ChngdMtr_Cons,MR_Status,Remarks,Emp_ID,Time_stamp,User_ID,midentity
360152,511200060,140105017,3/5/2019,4/5/2019,646,657,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972653
360153,511200080,ED-18-15-09987,3/5/2019,4/5/2019,18,43,25,0,0,0,2,,0,4/8/19 17:16,WIN,1972654
360154,511200090,ED-18-15-09686,3/5/2019,4/5/2019,13,31,18,0,0,0,2,,0,4/8/19 17:16,WIN,1972655
360155,511200100,511200100,3/5/2019,4/5/2019,6,14,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972656
360156,511200101,6084296,3/5/2019,4/5/2019,7,18,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972657
360157,511200150,ED-18-15-10480,3/5/2019,4/5/2019,21,48,27,0,0,0,2,,0,4/8/19 17:16,WIN,1972658
360158,511200160,ED-18-15-09986,3/5/2019,4/5/2019,6,15,9,0,0,0,2,,0,4/8/19 17:16,WIN,1972659
360159,511200190,ED-18-15-09828,3/5/2019,4/5/2019,8,19,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972660
360160,511200200,ED-18-15-10299,3/5/2019,4/5/2019,15,35,20,0,0,0,2,,0,4/8/19 17:16,WIN,1972661
360051,511200210,602476,3/4/2019,4/4/2019,356,363,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972552
360161,511200220,ED-18-15-09992,3/5/2019,4/5/2019,4,11,7,0,0,0,2,,0,4/8/19 17:16,WIN,1972662
360162,511200230,ED-18-15-10080,3/5/2019,4/5/2019,12,28,16,0,0,0,2,,0,4/8/19 17:16,WIN,1972663
360163,511200240,ED-18-15-09799,3/5/2019,4/5/2019,6,12,6,0,0,0,2,,0,4/8/19 17:16,WIN,1972664
360164,511200390,ED-18-15-10017,3/5/2019,4/5/2019,6,13,7,0,0,0,2,,0,4/8/19 17:16,WIN,1972665
360165,511200400,ED-18-15-10414,3/5/2019,4/5/2019,10,21,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972666
360166,511200401,ED-18-15-09760,3/5/2019,4/5/2019,15,36,21,0,0,0,2,,0,4/8/19 17:16,WIN,1972667
360167,511200410,112104106,3/5/2019,4/5/2019,4,11,7,0,0,0,2,,0,4/8/19 17:16,WIN,1972668
360168,511200420,9622226,3/5/2019,4/5/2019,13,27,14,0,0,0,2,,0,4/8/19 17:16,WIN,1972669
360169,511200470,6230889,3/5/2019,4/5/2019,8,20,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972670
360170,511200480,990913322,3/5/2019,4/5/2019,15,32,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972671
360171,511200500,9661726,3/5/2019,4/5/2019,5,13,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972672
360172,511200520,1101231,3/5/2019,4/5/2019,22,34,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972673
360173,511200521,60101109,3/5/2019,4/5/2019,10,23,13,0,0,0,2,,0,4/8/19 17:16,WIN,1972674
360175,511200550,6270731,3/5/2019,4/5/2019,9,21,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972676
360176,511200560,ED-18-15-01806,3/5/2019,4/5/2019,21,61,40,0,0,0,2,,0,4/8/19 17:16,WIN,1972677
360177,511200590,48909,3/5/2019,4/5/2019,3,8,5,0,0,0,2,,0,4/8/19 17:16,WIN,1972678
360178,511200660,81,3/5/2019,4/5/2019,70,205,135,0,0,0,2,,0,4/8/19 17:16,WIN,1972679
360179,511200770,21209170,3/5/2019,4/5/2019,5,10,5,0,0,0,2,,0,4/8/19 17:16,WIN,1972680
360180,511200780,401010,3/5/2019,4/5/2019,448,452,4,0,0,0,2,,0,4/8/19 17:16,WIN,1972681
360181,511200810,80379997,3/5/2019,4/5/2019,7,15,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972682
360182,511200860,871451,3/5/2019,4/5/2019,10,22,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972683
360183,511200880,150903263,3/5/2019,4/5/2019,288,294,6,0,0,0,2,,0,4/8/19 17:16,WIN,1972684
360184,511200900,410007686,3/5/2019,4/5/2019,12,29,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972685
360185,511200910,966412011,3/5/2019,4/5/2019,10,23,13,0,0,0,2,,0,4/8/19 17:16,WIN,1972686
360186,511200940,160652022,3/5/2019,4/5/2019,199,208,9,0,0,0,2,,0,4/8/19 17:16,WIN,1972687
360187,511200950,1101971,3/5/2019,4/5/2019,730,755,25,0,0,0,2,,0,4/8/19 17:16,WIN,1972688
360188,511201021,2304247,3/5/2019,4/5/2019,6,16,10,0,0,0,2,,0,4/8/19 17:16,WIN,1972689
360189,511201100,70805014,3/5/2019,4/5/2019,12,29,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972690
360052,511201140,ED-18-15-10114,3/4/2019,4/4/2019,7,14,7,0,0,0,2,,0,4/8/19 8:20,WIN,1972553
360190,511201150,40323832,3/5/2019,4/5/2019,10,22,12,0,0,0,2,,0,4/8/19 17:16,WIN,1972691
360191,511201200,48964,3/5/2019,4/5/2019,13,31,18,0,0,0,2,,0,4/8/19 17:16,WIN,1972692
360192,511201210,900030,3/5/2019,4/5/2019,280,291,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972693
360193,511201220,160540502,3/5/2019,4/5/2019,204,213,9,0,0,0,2,,0,4/8/19 17:16,WIN,1972694
360194,511201240,92010597,3/5/2019,4/5/2019,767,778,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972695
360195,511201260,410007682,3/5/2019,4/5/2019,5,15,10,0,0,0,2,,0,4/8/19 17:16,WIN,1972696
360196,511201270,966416,3/5/2019,4/5/2019,669,684,15,0,0,0,2,,0,4/8/19 17:16,WIN,1972697
360197,511201280,1103086,3/5/2019,4/5/2019,15,35,20,0,0,0,2,,0,4/8/19 17:16,WIN,1972698
360198,511201281,1102041,3/5/2019,4/5/2019,10,26,16,0,0,0,2,,0,4/8/19 17:16,WIN,1972699
360199,511201290,21210082,3/5/2019,4/5/2019,6,10,4,0,0,0,2,,0,4/8/19 17:16,WIN,1972700
360200,511201294,1107017,3/5/2019,4/5/2019,8,19,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972701
360201,511201340,1796,3/5/2019,4/5/2019,15,26,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972702
360202,511201350,101021175,3/5/2019,4/5/2019,8,25,17,0,0,0,2,,0,4/8/19 17:16,WIN,1972703
360203,511201380,331060442,3/5/2019,4/5/2019,8,18,10,0,0,0,2,,0,4/8/19 17:16,WIN,1972704
360204,511201390,13567,3/5/2019,4/5/2019,567,572,5,0,0,0,2,,0,4/8/19 17:16,WIN,1972705
360205,511201391,017nb044224,3/5/2019,4/5/2019,174,194,20,0,0,0,2,,0,4/8/19 17:16,WIN,1972706
360206,511201393,8060314,3/5/2019,4/5/2019,8,19,11,0,0,0,2,,0,4/8/19 17:16,WIN,1972707
360207,511201400,10150156,3/5/2019,4/5/2019,5,11,6,0,0,0,2,,0,4/8/19 17:16,WIN,1972708
360208,511201410,160132827,3/5/2019,4/5/2019,343,348,5,0,0,0,2,,0,4/8/19 17:16,WIN,1972709
360209,511201411,0,3/5/2019,4/5/2019,6,15,9,0,0,0,2,,0,4/8/19 17:16,WIN,1972710
360210,511201420,10150149,3/5/2019,4/5/2019,10,24,14,0,0,0,2,,0,4/8/19 17:16,WIN,1972711
360211,511201430,101801030,3/5/2019,4/5/2019,3,6,3,0,0,0,2,,0,4/8/19 17:16,WIN,1972712
360212,511201450,80602572,3/5/2019,4/5/2019,27,73,46,0,0,0,2,,0,4/8/19 17:16,WIN,1972713
360213,511201500,ED-18-15-10312,3/5/2019,4/5/2019,6,14,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972714
360214,511201521,3083,3/5/2019,4/5/2019,371,378,7,0,0,0,2,,0,4/8/19 17:16,WIN,1972715
360053,511201551,40326648,3/4/2019,4/4/2019,3,13,10,0,0,0,2,,0,4/8/19 8:20,WIN,1972554
360215,511201560,60842900,3/5/2019,4/5/2019,9,28,19,0,0,0,2,,0,4/8/19 17:16,WIN,1972716
360216,511201570,9663875,3/5/2019,4/5/2019,13,95,82,0,0,0,2,,0,4/8/19 17:16,WIN,1972717
360217,511201580,17nb043488,3/5/2019,4/5/2019,114,127,13,0,0,0,2,,0,4/8/19 17:16,WIN,1972718
360218,511201590,253,3/5/2019,4/5/2019,800,809,9,0,0,0,2,,0,4/8/19 17:16,WIN,1972719
360219,511201600,ED-18-15-10018,3/5/2019,4/5/2019,2,7,5,0,0,0,2,,0,4/8/19 17:16,WIN,1972720
360220,511201601,100418740,3/5/2019,4/5/2019,630,638,8,0,0,0,2,,0,4/8/19 17:16,WIN,1972721
360221,511201620,1000188,3/5/2019,4/5/2019,491,492,1,0,0,0,2,,0,4/8/19 17:16,WIN,1972722
