Bill_No,B_Code,Receivable,Collected,Adjustment,sequence
10261239,10,177.4,177.4,0,2590781
10261240,7,400,400,0,2586673
10261241,7,387.25,387.25,0,2586674
10261242,7,333.75,333.75,0,2586675
10261243,7,440.75,440.75,0,2586676
10261244,7,414,414,0,2586677
10261244,10,41.4,41.4,0,2590782
10261245,7,1354.2,1354.2,0,2586678
10261246,7,636.25,636.25,0,2586679
10261247,7,3910,3910,0,2586680
10261248,7,1576,1576,0,2586681
10261249,3,1069.65,0,0,2586683
10261249,7,280.25,0,0,2586682
10261249,10,28.05,0,0,2590783
10261250,7,400,400,0,2586684
10261251,3,2400,0,0,2586686
10261251,7,200,0,0,2586685
10261252,3,11867.5,0,0,2586688
10261252,7,200,0,0,2586687
10261253,7,307,307,0,2586689
10261254,7,400,400,0,2586690
10261255,7,333.75,333.75,0,2586691
10261256,7,200,200,0,2586692
10261257,3,220,220,0,2586694
10261257,7,200,200,0,2586693
10261257,10,20,20,0,2590784
10261258,7,535,535,0,2586695
10261259,7,333.75,333.75,0,2586696
10261260,7,333.75,317.07,-16.68,2586697
10261261,7,226.75,226.75,0,2586698
10261262,7,670,636.5,-33.5,2586699
10261263,7,3005.2,3005.2,0,2586700
10261264,7,387.25,387.25,0,2586701
10261265,7,280.25,280.25,0,2586702
10261265,10,28.05,28.05,0,2590785
10261266,7,501.25,476.19,-25.06,2586703
10261267,3,220,220,0,2586705
10261267,7,200,200,0,2586704
10261267,10,20,20,0,2590786
10261268,3,170,170,0,2586707
10261268,7,200,200,0,2586706
10261268,10,20,20,0,2590787
10261269,7,200,190,-10,2586708
10261270,7,200,200,0,2586709
10261271,7,200,200,0,2586710
10261271,10,20,20,0,2590788
10261272,7,200,200,0,2586711
10261273,7,200,200,0,2586712
10261273,10,20,20,0,2590789
10261274,3,28.05,28.05,0,2586714
10261274,7,1010,1010,0,2586713
10261274,10,3.85,3.85,0,2590790
10261275,3,249.45,249.45,0,2586716
10261275,7,307,307,0,2586715
10261275,10,30.7,30.7,0,2590791
10261276,7,7719.6,7719.6,0,2586717
10261277,7,501.25,501.25,0,2586718
10261277,10,50.15,50.15,0,2590792
10261278,7,307,307,0,2586719
10261279,7,200,200,0,2586720
10261280,7,200,200,0,2586721
10261281,7,414,414,0,2586722
10261282,7,200,200,0,2586723
10261283,7,670,670,0,2586724
10261284,7,333.75,333.75,0,2586725
10261284,10,33.4,33.4,0,2590793
10261285,3,514.25,514.25,0,2586727
10261285,7,467.5,467.5,0,2586726
10261285,10,46.75,46.75,0,2590794
10261286,7,1215,1215,0,2586728
10261287,7,440.75,440.75,0,2586729
10261287,10,44.1,44.1,0,2590795
10261288,7,200,200,0,2586730
10261289,7,501.25,476.19,-25.06,2586731
10261290,7,226.75,226.75,0,2586732
10261291,7,300,300,0,2586733
10261292,3,755.35,755.35,0,2586735
10261292,7,1910.75,1910.75,0,2586734
10261292,10,191.1,191.1,0,2590796
10261293,7,1552,1552,0,2586736
10261294,7,4193.2,4193.2,0,2586737
10261294,10,419.35,419.35,0,2590797
10261295,7,5623,5623,0,2586738
10261296,7,200,200,0,2586739
10261296,10,20,20,0,2590798
10261297,7,307,307,0,2586740
10261298,7,280.25,280.25,0,2586741
10261299,7,226.75,226.75,0,2586742
10261299,10,22.7,22.7,0,2590799
10261300,7,350,350,0,2586743
10261301,7,802.2,802.2,0,2586744
10261302,7,307,307,0,2586745
10261303,7,200,200,0,2586746
10261304,3,220,220,0,2586748
10261304,7,200,200,0,2586747
10261304,10,20,20,0,2590800
10261305,7,414,414,0,2586749
10261306,7,535,535,0,2586750
10261307,7,333.75,333.75,0,2586751
10261307,10,33.4,33.4,0,2590801
10261308,7,1818.2,1818.2,0,2586752
10261309,7,253.5,253.5,0,2586753
10261310,7,200,200,0,2586754
10261311,7,1092,1092,0,2586755
10261311,10,109.2,109.2,0,2590802
10261312,7,333.75,333.75,0,2586756
10261312,10,33.4,33.4,0,2590803
10261313,7,360.5,342.48,-18.02,2586757
10261314,7,360.5,360.5,0,2586758
10261314,10,36.05,36.05,0,2590804
10261315,7,3750,3750,0,2586759
10261315,10,375,375,0,2590805
10261316,7,2986.8,2986.8,0,2586760
10261317,3,469.45,469.45,0,2586762
10261317,7,200,200,0,2586761
10261317,10,20,20,0,2590806
10261318,7,200,200,0,2586763
10261319,7,400,400,0,2586764
10261320,3,396.55,0,0,2586766
10261320,7,360.5,360.5,0,2586765
10261320,10,36.05,36.05,0,2590807
10261321,7,226.75,215.42,-11.33,2586767
10261322,7,226.75,226.75,0,2586768
10261323,7,253.5,253.5,0,2586769
10261323,10,25.35,25.35,0,2590808
10261324,3,1524.55,1524.55,0,2586771
10261324,7,387.25,387.25,0,2586770
10261324,10,38.75,38.75,0,2590809
10261325,7,467.5,467.5,0,2586772
10261326,7,226.75,226.75,0,2586773
10261326,10,22.7,22.7,0,2590810
10261327,7,280.25,280.25,0,2586774
10261328,7,307,307,0,2586775
10261328,10,30.7,30.7,0,2590811
10261329,7,1133,1133,0,2586776
10261329,10,113.3,113.3,0,2590812
10261330,7,200,200,0,2586777
10261331,7,333.75,333.75,0,2586778
10261331,10,33.4,33.4,0,2590813
10261332,7,501.25,501.25,0,2586779
10261332,10,50.15,50.15,0,2590814
10261333,7,360.5,360.5,0,2586780
10261334,7,226.75,226.75,0,2586781
10261335,3,330,0,0,2586783
10261335,7,380.2,380.2,0,2586782
10261335,10,38.05,38.05,0,2590815
10261336,7,1051,1051,0,2586784
10261337,7,200,200,0,2586785
10261338,7,200,200,0,2586786
10261338,10,20,20,0,2590816
10261339,3,308.3,0,0,2586788
10261339,7,253.5,253.5,0,2586787
10261339,10,25.35,25.35,0,2590817
10261340,7,333.75,333.75,0,2586789
10261341,7,200,200,0,2586790
10261342,7,280.25,266.24,-14.01,2586791
10261343,7,253.5,253.5,0,2586792
10261344,7,703.75,703.75,0,2586793
10261345,3,337.7,337.7,0,2586795
10261345,7,333.75,333.75,0,2586794
10261346,3,278.85,278.85,0,2586797
10261346,7,200,200,0,2586796
10261347,3,278.85,278.85,0,2586799
10261347,7,226.75,226.75,0,2586798
10261348,7,636.25,636.25,0,2586800
10261349,7,501.25,476.19,-25.06,2586801
10261350,7,1010,1010,0,2586802
10261350,10,101,101,0,2590818
10261351,7,846,846,0,2586803
10261352,7,636.25,636.25,0,2586804
10261353,7,3543.6,3543.6,0,2586805
10261354,7,400,400,0,2586806
10261355,7,467.5,467.5,0,2586807
10261356,7,200,200,0,2586808
10261357,7,387.25,387.25,0,2586809
