"55675","10261168","111207733",NULL
"55676","10261169","111207693",NULL
"55677","10261170","111207735","440"
"55678","10261171","111207734",NULL
"55679","10261172","113205350",NULL
"55680","10261173","111205351",NULL
"55681","10261174","111205360",NULL
"55682","10261175","111205370",NULL
"55683","10261176","114205400","0"
"55684","10261177","111205410",NULL
"55685","10261178","111205430",NULL
"55686","10261179","111205450","0"
"55687","10261180","113205720",NULL
"55688","10261181","115205730",NULL
"55689","10261182","115205740",NULL
"55690","10261183","113205770",NULL
"55691","10261184","111207710",NULL
"55692","10261185","111205800",NULL
"55693","10261186","111207742",NULL
"55694","10261187","113205810",NULL
"55695","10261188","111207703",NULL
"55696","10261189","111205820",NULL
"55697","10261190","111205822",NULL
"55698","10261191","111203200",NULL
"55699","10261192","111205880",NULL
"55700","10261193","111205900",NULL
"55701","10261194","111205920",NULL
"55702","10261195","111205910",NULL
"55703","10261196","111205940",NULL
"55704","10261197","113205980",NULL
"55705","10261198","113206000",NULL
"55706","10261199","111203210",NULL
"55707","10261200","511205640","0"
"55708","10261201","114206060",NULL
"55709","10261202","113206080",NULL
"55710","10261203","115206100",NULL
"55711","10261204","111206140",NULL
"55712","10261205","111206150","396.55"
"55713","10261206","111206180","0"
"55714","10261207","111206220",NULL
"55715","10261208","111206240",NULL
"55716","10261209","111206270",NULL
"55717","10261210","113206300",NULL
"55718","10261211","113206360",NULL
"55719","10261212","115206440",NULL
"55720","10261213","113206460",NULL
"55721","10261214","111206500",NULL
"55722","10261215","111206570","0"
"55723","10261216","111207726",NULL
"55724","10261217","111207736","426"
"55725","10261218","111206590",NULL
"55726","10261219","111206640",NULL
"55727","10261220","111206700",NULL
"55728","10261221","111206740",NULL
"55729","10261222","111206760",NULL
"55730","10261223","111206800",NULL
"55731","10261224","111206820",NULL
"55732","10261225","111206870",NULL
"55733","10261226","111206890","300"
"55734","10261227","311204200","469.45"
"55735","10261228","111206860",NULL
"55736","10261229","111206900",NULL
"55737","10261230","111206910",NULL
"55738","10261231","111207723",NULL
"55739","10261232","111206990",NULL
"55740","10261233","113207000",NULL
"55741","10261234","113207020",NULL
"55742","10261235","111203310",NULL
"55743","10261236","111207743",NULL
"55744","10261237","111207060",NULL
"55745","10261238","111207070",NULL
"55746","10261239","111203160","0"
"55747","10261240","111203316",NULL
"55748","10261241","111207130",NULL
"55749","10261242","111207180",NULL
"55750","10261243","111207200",NULL
"55751","10261244","111207210",NULL
"55752","10261245","111207220",NULL
"55753","10261246","111207190",NULL
"55754","10261247","114207240",NULL
"55755","10261248","114207250",NULL
"55756","10261249","211200010","0"
"55757","10261250","111207729",NULL
"55758","10261251","211207755","0"
"55759","10261252","211207756","0"
"55760","10261253","211200060",NULL
"55761","10261254","211207918",NULL
"55762","10261255","211200100",NULL
"55763","10261256","211200110",NULL
"55764","10261257","211200130","220"
"55765","10261258","211207720",NULL
"55766","10261259","211207788",NULL
"55767","10261260","211200150",NULL
"55768","10261261","211200170",NULL
"55769","10261262","211200180",NULL
"55770","10261263","214200214",NULL
"55771","10261264","211200190",NULL
"55772","10261265","211200200",NULL
"55773","10261266","211200230",NULL
"55774","10261267","211200240","220"
"55775","10261268","211200250","170"
"55776","10261269","211200260",NULL
"55777","10261270","211200420",NULL
"55778","10261271","211200381",NULL
"55779","10261272","211200380",NULL
"55780","10261273","211200280",NULL
"55781","10261274","211200300","28.05"
"55782","10261275","211200310","249.45"
"55783","10261276","214200330",NULL
"55784","10261277","211200340",NULL
"55785","10261278","211200360",NULL
"55786","10261279","211203709",NULL
"55787","10261280","211207716",NULL
"55788","10261281","211200390",NULL
"55789","10261282","311200270",NULL
"55790","10261283","211207753",NULL
"55791","10261284","211200450",NULL
"55792","10261285","211200460","514.25"
"55793","10261286","211200480",NULL
"55794","10261287","211200490",NULL
"55795","10261288","211200500",NULL
"55796","10261289","211200520",NULL
"55797","10261290","211200540",NULL
"55798","10261291","211200600",NULL
"55799","10261292","211207894","755.35"
"55800","10261293","213200630",NULL
"55801","10261294","215200640",NULL
"55802","10261295","212200650",NULL
"55803","10261296","211207891",NULL
"55804","10261297","211200660",NULL
"55805","10261298","211200680",NULL
"55806","10261299","211200800",NULL
"55807","10261300","211200830",NULL
"55808","10261301","211200840",NULL
"55809","10261302","211200850",NULL
"55810","10261303","211200920",NULL
"55811","10261304","211200970","220"
"55812","10261305","211201010",NULL
"55813","10261306","211201021",NULL
"55814","10261307","211207712",NULL
"55815","10261308","211201030",NULL
"55816","10261309","211207060",NULL
"55817","10261310","211207873",NULL
"55818","10261311","211201060",NULL
"55819","10261312","211201070",NULL
"55820","10261313","211201110",NULL
"55821","10261314","211201310",NULL
"55822","10261315","211207920",NULL
"55823","10261316","211207834",NULL
"55824","10261317","211201130","469.45"
"55825","10261318","211201150",NULL
"55826","10261319","211201961",NULL
"55827","10261320","211201160","0"
"55828","10261321","211201180",NULL
"55829","10261322","211207874",NULL
"55830","10261323","211201190",NULL
"55831","10261324","211201860","1524.55"
"55832","10261325","211201240",NULL
"55833","10261326","211201260",NULL
"55834","10261327","211201270",NULL
"55835","10261328","211201300",NULL
"55836","10261329","211201330",NULL
"55837","10261330","211207810",NULL
"55838","10261331","211201390",NULL
"55839","10261332","211207310",NULL
"55840","10261333","211201430",NULL
"55841","10261334","211201460",NULL
"55842","10261335","211201470","0"
"55843","10261336","211201480",NULL
"55844","10261337","211207400",NULL
"55845","10261338","211200024",NULL
"55846","10261339","211201380","0"
"55847","10261340","211207842",NULL
"55848","10261341","211201600",NULL
"55849","10261342","211201610",NULL
"55850","10261343","211207190",NULL
"55851","10261344","211201650",NULL
"55852","10261345","211201661","337.7"
"55853","10261346","211201662","278.85"
"55854","10261347","211207680","278.85"
"55855","10261348","211205300",NULL
"55856","10261349","211201700",NULL
"55857","10261350","211200020",NULL
"55858","10261351","211207822",NULL
"55859","10261352","211201770",NULL
"55860","10261353","211201790",NULL
"55861","10261354","211201040",NULL
"55862","10261355","211201870",NULL
"55863","10261356","211201930",NULL
"55864","10261357","211201950",NULL
"55865","10261358","211201840",NULL
"55866","10261359","211202750",NULL
"55867","10261360","211201960","770.73"
"55868","10261361","211207924",NULL
