Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10261178,111205430,12-1-2018,12-16-2018,2,344860,1245.25,0,1
10261179,111205450,12-1-2018,12-16-2018,2,344861,20,1,1
10261180,113205720,12-1-2018,12-16-2018,2,344953,72.45,0,1
10261181,115205730,12-1-2018,12-16-2018,2,344980,93.5,0,1
10261182,115205740,12-1-2018,12-16-2018,2,344981,40,0,1
10261183,113205770,12-1-2018,12-16-2018,2,344954,35,0,1
10261184,111207710,12-1-2018,12-16-2018,2,344914,30,1,1
10261185,111205800,12-1-2018,12-16-2018,2,344862,25.35,0,1
10261186,111207742,12-1-2018,12-16-2018,2,345009,40,0,1
10261187,113205810,12-1-2018,12-16-2018,2,344955,35,0,1
10261188,111207703,12-1-2018,12-16-2018,2,344908,109.2,0,1
10261189,111205820,12-1-2018,12-16-2018,2,344863,56.9,1,1
10261190,111205822,12-1-2018,12-16-2018,2,344864,25.35,0,1
10261191,111203200,12-1-2018,12-16-2018,2,344815,77.15,1,1
10261192,111205880,12-1-2018,12-16-2018,2,344865,25.35,1,1
10261193,111205900,12-1-2018,12-16-2018,2,344866,25.35,0,1
10261194,111205920,12-1-2018,12-16-2018,2,344868,20,1,1
10261195,111205910,12-1-2018,12-16-2018,2,344867,20,0,1
10261196,111205940,12-1-2018,12-16-2018,2,344869,77.15,1,1
10261197,113205980,12-1-2018,12-16-2018,2,344956,35,0,1
10261198,113206000,12-1-2018,12-16-2018,2,344957,35,0,1
10261199,111203210,12-1-2018,12-16-2018,2,344816,45.35,1,1
10261200,511205640,12-1-2018,12-16-2018,2,345004,20,1,1
10261201,114206060,12-1-2018,12-16-2018,2,344973,30,0,1
10261202,113206080,12-1-2018,12-16-2018,2,344958,162.4,0,1
10261203,115206100,12-1-2018,12-16-2018,2,344982,93.5,0,1
10261204,111206140,12-1-2018,12-16-2018,2,344870,20,0,1
10261205,111206150,12-1-2018,12-16-2018,2,344871,41.4,1,1
10261206,111206180,12-1-2018,12-16-2018,2,344872,149.35,1,1
10261207,111206220,12-1-2018,12-16-2018,2,344873,38.75,0,1
10261208,111206240,12-1-2018,12-16-2018,2,344874,41.4,0,1
10261209,111206270,12-1-2018,12-16-2018,2,344875,25.35,0,1
10261210,113206300,12-1-2018,12-16-2018,2,344959,35,0,1
10261211,113206360,12-1-2018,12-16-2018,2,344960,49.05,0,1
10261212,115206440,12-1-2018,12-16-2018,2,344983,202,0,1
10261213,113206460,12-1-2018,12-16-2018,2,344961,123.15,0,1
10261214,111206500,12-1-2018,12-16-2018,2,344876,20,0,1
10261215,111206570,12-1-2018,12-16-2018,2,344877,30,1,1
